# ell,Dl_TT,Dl_EE,Dl_TE
1.960000000000000000e+02,5.484492954786186601e+03,6.937363016778750335e-01,-1.959520726174639549e+01
1.970000000000000000e+02,5.498369933892836343e+03,6.903126994070994948e-01,-1.841087659381175712e+01
1.980000000000000000e+02,5.511689146888951655e+03,6.876325402884210236e-01,-1.720380856114568857e+01
1.990000000000000000e+02,5.524428778331169269e+03,6.857319590661208331e-01,-1.597431960894811453e+01
2.000000000000000000e+02,5.536604140122574790e+03,6.846470802016247914e-01,-1.472294886549705240e+01
2.010000000000000000e+02,5.548200801192449035e+03,6.844160625348372218e-01,-1.344993724395562928e+01
2.020000000000000000e+02,5.559211596598946926e+03,6.850740949720669493e-01,-1.215589244285205162e+01
2.030000000000000000e+02,5.569614469668649690e+03,6.866576581323127204e-01,-1.084104968170572469e+01
2.040000000000000000e+02,5.579417065433479365e+03,6.892024795826853234e-01,-9.505941104083872162e+00
2.050000000000000000e+02,5.588589900035001847e+03,6.927450189358453914e-01,-8.151024492495379192e+00
2.060000000000000000e+02,5.597140617016017131e+03,6.973202401449808407e-01,-6.776683264529445694e+00
2.070000000000000000e+02,5.605054582373740232e+03,7.029653243093559878e-01,-5.383308150869218878e+00
2.080000000000000000e+02,5.612324587123714991e+03,7.097159568641712157e-01,-3.971512534561210561e+00
2.090000000000000000e+02,5.618980549873517703e+03,7.176070701571756194e-01,-2.541842847796635496e+00
2.100000000000000000e+02,5.625007835030236492e+03,7.266758137220908909e-01,-1.094867675586137068e+00
2.110000000000000000e+02,5.630414083515580387e+03,7.369585840636364571e-01,3.688534356652501955e-01
2.120000000000000000e+02,5.635214361612449466e+03,7.484895395780158944e-01,1.848747705050797663e+00
2.130000000000000000e+02,5.639408884191677316e+03,7.613057985465707667e-01,3.344251397765096723e+00
2.140000000000000000e+02,5.643005291692642459e+03,7.754437263908776634e-01,4.854794977534740319e+00
2.150000000000000000e+02,5.646003798981400905e+03,7.909322526884412508e-01,6.379780833368955406e+00
2.160000000000000000e+02,5.648389769834935578e+03,8.078158906999649558e-01,7.918604074872291676e+00
2.170000000000000000e+02,5.650163419550115577e+03,8.261235498447594416e-01,9.470637684486350238e+00
2.180000000000000000e+02,5.651324963800975638e+03,8.458841296255041886e-01,1.103536618215258969e+01
2.190000000000000000e+02,5.651867193117894203e+03,8.671413710013398113e-01,1.261209602926313877e+01
2.200000000000000000e+02,5.651782898612285862e+03,8.899241540222271318e-01,1.420029721064177686e+01
2.210000000000000000e+02,5.651079723320473931e+03,9.142613492250443175e-01,1.579921710517207778e+01
2.220000000000000000e+02,5.649743034165433528e+03,9.401966690405078042e-01,1.740840028256517868e+01
2.230000000000000000e+02,5.647780475785136332e+03,9.677515398371272504e-01,1.902702020000959493e+01
2.240000000000000000e+02,5.645199693726363876e+03,9.969622302252842960e-01,2.065454751119590071e+01
2.250000000000000000e+02,5.642000908877833353e+03,1.027850148749125170e+00,2.229015601895920184e+01
