# ell,Dl_TT (LCDM PR4 best-fit)
1.850000000000000000e+02,5.364707611854229981e+03
1.860000000000000000e+02,5.385022157994734698e+03
1.870000000000000000e+02,5.404833386037288619e+03
1.880000000000000000e+02,5.424134267308835661e+03
1.890000000000000000e+02,5.442910345153083654e+03
1.900000000000000000e+02,5.461162019829904239e+03
1.910000000000000000e+02,5.478882263321133905e+03
1.920000000000000000e+02,5.496056619196087013e+03
1.930000000000000000e+02,5.512678059187457620e+03
1.940000000000000000e+02,5.528754411427743435e+03
1.950000000000000000e+02,5.544271218595664322e+03
1.960000000000000000e+02,5.559228879577257430e+03
1.970000000000000000e+02,5.573627792687909277e+03
1.980000000000000000e+02,5.587468355607984449e+03
1.990000000000000000e+02,5.600728680281120432e+03
2.000000000000000000e+02,5.613424019678815057e+03
2.010000000000000000e+02,5.625539856053843323e+03
2.020000000000000000e+02,5.637068872969624863e+03
2.030000000000000000e+02,5.647988839964049475e+03
2.040000000000000000e+02,5.658307239237434260e+03
2.050000000000000000e+02,5.667994410528698609e+03
2.060000000000000000e+02,5.677057834658171487e+03
2.070000000000000000e+02,5.685482706777114799e+03
2.080000000000000000e+02,5.693261649830621536e+03
2.090000000000000000e+02,5.700424428030036324e+03
2.100000000000000000e+02,5.706956235080083388e+03
2.110000000000000000e+02,5.712864549418449315e+03
2.120000000000000000e+02,5.718164277608845623e+03
2.130000000000000000e+02,5.722855469388890015e+03
2.140000000000000000e+02,5.726945602823251647e+03
2.150000000000000000e+02,5.730434727708019636e+03
2.160000000000000000e+02,5.733308037326451085e+03
2.170000000000000000e+02,5.735565581955725975e+03
2.180000000000000000e+02,5.737207412270625355e+03
2.190000000000000000e+02,5.738226151094496345e+03
2.200000000000000000e+02,5.738614421846451478e+03
2.210000000000000000e+02,5.738379705333205493e+03
2.220000000000000000e+02,5.737507198082325885e+03
2.230000000000000000e+02,5.736004382520173749e+03
2.240000000000000000e+02,5.733878741988390175e+03
2.250000000000000000e+02,5.731130332450619790e+03
2.260000000000000000e+02,5.727751782538233783e+03
2.270000000000000000e+02,5.723750578634684643e+03
2.280000000000000000e+02,5.719126779845440979e+03
2.290000000000000000e+02,5.713887874705596005e+03
2.300000000000000000e+02,5.708026496122084609e+03
2.310000000000000000e+02,5.701550134753095335e+03
2.320000000000000000e+02,5.694466282271108867e+03
2.330000000000000000e+02,5.686767574610881638e+03
2.340000000000000000e+02,5.678454076953614276e+03
2.350000000000000000e+02,5.669540711995601669e+03
2.360000000000000000e+02,5.660012689750379650e+03
2.370000000000000000e+02,5.649892362590190714e+03
2.380000000000000000e+02,5.639172369969022839e+03
2.390000000000000000e+02,5.627860208386070553e+03
2.400000000000000000e+02,5.615955946184350069e+03
2.410000000000000000e+02,5.603459651738558023e+03
2.420000000000000000e+02,5.590386249982379013e+03
2.430000000000000000e+02,5.576735808824539163e+03
2.440000000000000000e+02,5.562508395657746405e+03
2.450000000000000000e+02,5.547718933860238394e+03
2.460000000000000000e+02,5.532374917539992566e+03
2.470000000000000000e+02,5.516468982974679420e+03
2.480000000000000000e+02,5.500023478500034798e+03
2.490000000000000000e+02,5.483031037492823089e+03
2.500000000000000000e+02,5.465506576607122952e+03
2.510000000000000000e+02,5.447442745115655271e+03
2.520000000000000000e+02,5.428847125420948032e+03
2.530000000000000000e+02,5.409719888824806731e+03
2.540000000000000000e+02,5.390076060719252382e+03
2.550000000000000000e+02,5.369900950289305001e+03
2.560000000000000000e+02,5.349209577127408011e+03
2.570000000000000000e+02,5.328009529304062198e+03
2.580000000000000000e+02,5.306315819900864881e+03
2.590000000000000000e+02,5.284136030154342734e+03
2.600000000000000000e+02,5.261492594363868193e+03
2.610000000000000000e+02,5.238385658011341548e+03
2.620000000000000000e+02,5.214837647748228846e+03
2.630000000000000000e+02,5.190856129545147269e+03
2.640000000000000000e+02,5.166448665309107128e+03
2.650000000000000000e+02,5.141615384466354044e+03
2.660000000000000000e+02,5.116363840612651074e+03
2.670000000000000000e+02,5.090709011479937544e+03
2.680000000000000000e+02,5.064651013869178314e+03
2.690000000000000000e+02,5.038189960351310219e+03
2.700000000000000000e+02,5.011333387634595056e+03
2.710000000000000000e+02,4.984103684948257978e+03
2.720000000000000000e+02,4.956493523990182439e+03
2.730000000000000000e+02,4.928532714143578232e+03
2.740000000000000000e+02,4.900213919053355312e+03
2.750000000000000000e+02,4.871552083520649830e+03
2.760000000000000000e+02,4.842569576907526425e+03
2.770000000000000000e+02,4.813266479852805787e+03
2.780000000000000000e+02,4.783650297800404587e+03
2.790000000000000000e+02,4.753735961135925209e+03
2.800000000000000000e+02,4.723538396980994548e+03
2.810000000000000000e+02,4.693057672643980368e+03
2.820000000000000000e+02,4.662308709177451419e+03
2.830000000000000000e+02,4.631306424837944178e+03
2.840000000000000000e+02,4.600050878548096989e+03
2.850000000000000000e+02,4.568556983461190612e+03
2.860000000000000000e+02,4.536832222073369849e+03
2.870000000000000000e+02,4.504898931435396662e+03
2.880000000000000000e+02,4.472757161558986809e+03
2.890000000000000000e+02,4.440414388970629261e+03
2.900000000000000000e+02,4.407892945208576748e+03
2.910000000000000000e+02,4.375200303561249711e+03
2.920000000000000000e+02,4.342336507548376176e+03
2.930000000000000000e+02,4.309316456093048146e+03
2.940000000000000000e+02,4.276155046931915422e+03
2.950000000000000000e+02,4.242852320013927056e+03
2.960000000000000000e+02,4.209423170988302445e+03
2.970000000000000000e+02,4.175867637877585366e+03
2.980000000000000000e+02,4.142208042889519675e+03
2.990000000000000000e+02,4.108451850712554915e+03
3.000000000000000000e+02,4.074606525248995240e+03
3.010000000000000000e+02,4.040686939568442540e+03
3.020000000000000000e+02,4.006707892316110247e+03
3.030000000000000000e+02,3.972676734598137500e+03
3.040000000000000000e+02,3.938608245073439775e+03
3.050000000000000000e+02,3.904517201566156928e+03
3.060000000000000000e+02,3.870403524314946480e+03
3.070000000000000000e+02,3.836289417661773314e+03
3.080000000000000000e+02,3.802182228226702591e+03
3.090000000000000000e+02,3.768089301523864833e+03
3.100000000000000000e+02,3.734010553517058725e+03
3.110000000000000000e+02,3.699975612268349778e+03
3.120000000000000000e+02,3.665976962675808863e+03
3.130000000000000000e+02,3.632036801509678753e+03
3.140000000000000000e+02,3.598162467189994913e+03
